SEASON_ID,PTS,REB,AST,Player_Name,MIN
22020,11,7,1,LaMarcus Aldridge,26
22020,12,1,0,LaMarcus Aldridge,18
22020,14,5,2,LaMarcus Aldridge,26
22020,5,3,3,LaMarcus Aldridge,22
22020,20,3,2,LaMarcus Aldridge,28
22020,15,2,0,LaMarcus Aldridge,24
22020,26,9,2,LaMarcus Aldridge,30
22020,4,3,0,LaMarcus Aldridge,23
22020,22,2,1,LaMarcus Aldridge,24
22020,4,2,2,LaMarcus Aldridge,17
22020,11,2,1,LaMarcus Aldridge,30
22020,13,10,6,LaMarcus Aldridge,32
22020,20,9,4,LaMarcus Aldridge,37
22020,10,3,1,LaMarcus Aldridge,33
22020,28,5,3,LaMarcus Aldridge,31
22020,14,6,2,LaMarcus Aldridge,25
22020,4,4,1,LaMarcus Aldridge,20
22020,12,6,4,LaMarcus Aldridge,29
22020,20,3,1,LaMarcus Aldridge,29
22020,14,4,5,Nickeil Alexander-Walker,37
22020,30,5,4,Nickeil Alexander-Walker,40
22020,13,2,3,Nickeil Alexander-Walker,35
22020,18,3,6,Nickeil Alexander-Walker,24
22020,13,4,3,Nickeil Alexander-Walker,21
22020,5,1,0,Nickeil Alexander-Walker,14
22020,12,3,3,Nickeil Alexander-Walker,36
22020,31,8,3,Nickeil Alexander-Walker,39
22020,17,7,3,Nickeil Alexander-Walker,34
22020,20,5,1,Nickeil Alexander-Walker,32
22020,14,5,5,Nickeil Alexander-Walker,39
22020,18,7,3,Nickeil Alexander-Walker,34
22020,20,3,1,Nickeil Alexander-Walker,31
22020,6,3,1,Nickeil Alexander-Walker,19
22020,20,5,1,Nickeil Alexander-Walker,25
22020,2,1,0,Nickeil Alexander-Walker,6
22020,15,8,4,Nickeil Alexander-Walker,23
22020,10,4,2,Nickeil Alexander-Walker,25
22020,13,3,4,Nickeil Alexander-Walker,23
22020,6,1,3,Nickeil Alexander-Walker,17
22020,3,0,1,Nickeil Alexander-Walker,6
22020,2,1,0,Nickeil Alexander-Walker,5
22020,6,2,0,Nickeil Alexander-Walker,9
22020,0,1,1,Nickeil Alexander-Walker,9
22020,7,2,4,Nickeil Alexander-Walker,20
22020,4,2,0,Nickeil Alexander-Walker,17
22020,6,2,5,Nickeil Alexander-Walker,20
22020,7,0,2,Nickeil Alexander-Walker,18
22020,13,5,4,Nickeil Alexander-Walker,33
22020,6,4,0,Nickeil Alexander-Walker,22
22020,8,5,5,Nickeil Alexander-Walker,30
22020,10,3,1,Nickeil Alexander-Walker,21
22020,11,1,3,Nickeil Alexander-Walker,18
22020,9,5,2,Nickeil Alexander-Walker,31
22020,9,5,5,Nickeil Alexander-Walker,33
22020,12,3,2,Nickeil Alexander-Walker,20
22020,37,8,1,Nickeil Alexander-Walker,33
22020,5,1,2,Nickeil Alexander-Walker,15
22020,13,5,1,Nickeil Alexander-Walker,27
22020,6,2,1,Nickeil Alexander-Walker,11
22020,3,0,1,Nickeil Alexander-Walker,7
22020,14,3,1,Nickeil Alexander-Walker,19
22020,11,0,4,Nickeil Alexander-Walker,22
22020,2,0,0,Grayson Allen,6
22020,2,5,5,Grayson Allen,26
22020,7,2,2,Grayson Allen,22
22020,8,2,0,Grayson Allen,25
22020,9,5,2,Grayson Allen,27
22020,2,6,3,Grayson Allen,23
22020,6,2,3,Grayson Allen,26
22020,24,3,1,Grayson Allen,43
22020,26,4,1,Grayson Allen,34
22020,11,3,3,Grayson Allen,26
22020,23,4,2,Grayson Allen,35
22020,14,6,2,Grayson Allen,32
22020,5,1,4,Grayson Allen,22
22020,10,0,4,Grayson Allen,32
22020,30,4,3,Grayson Allen,30
22020,8,1,3,Grayson Allen,25
22020,15,5,2,Grayson Allen,27
22020,15,3,1,Grayson Allen,22
22020,2,3,1,Grayson Allen,7
22020,9,3,3,Grayson Allen,24
22020,17,5,1,Grayson Allen,29
22020,20,5,2,Grayson Allen,26
22020,9,4,0,Grayson Allen,33
22020,6,8,2,Grayson Allen,32
22020,14,3,3,Grayson Allen,24
22020,9,6,1,Grayson Allen,25
22020,15,2,4,Grayson Allen,23
22020,0,3,3,Grayson Allen,19
22020,10,0,2,Grayson Allen,22
22020,3,5,0,Grayson Allen,25
22020,4,2,6,Grayson Allen,30
22020,22,4,3,Grayson Allen,32
22020,8,1,3,Grayson Allen,26
22020,10,4,3,Grayson Allen,31
22020,23,3,1,Grayson Allen,35
22020,18,3,3,Grayson Allen,30
22020,12,3,1,Grayson Allen,21
22020,8,2,1,Grayson Allen,22
22020,16,6,3,Grayson Allen,26
22020,12,7,4,Grayson Allen,26
22020,20,0,2,Grayson Allen,26
22020,7,2,1,Grayson Allen,18
22020,10,4,0,Grayson Allen,23
22020,6,2,0,Grayson Allen,16
22020,3,3,2,Grayson Allen,16
22020,3,0,2,Grayson Allen,15
22020,0,1,2,Grayson Allen,12
22020,3,4,1,Grayson Allen,24
22020,10,4,2,Grayson Allen,29
22020,6,2,5,Grayson Allen,27
22020,9,11,0,Jarrett Allen,30
22020,18,14,3,Jarrett Allen,35
22020,8,10,2,Jarrett Allen,32
22020,12,9,3,Jarrett Allen,32
22020,5,5,1,Jarrett Allen,26
22020,5,12,1,Jarrett Allen,31
22020,9,13,2,Jarrett Allen,29
22020,17,8,5,Jarrett Allen,37
22020,6,14,2,Jarrett Allen,36
22020,13,11,2,Jarrett Allen,26
22020,17,13,1,Jarrett Allen,37
22020,15,7,2,Jarrett Allen,31
22020,27,12,2,Jarrett Allen,34
22020,15,9,1,Jarrett Allen,33
22020,8,9,0,Jarrett Allen,29
22020,5,5,0,Jarrett Allen,28
